postcode,shopcode,flydist,distance,duration
1000,71100,68781,88688,3328
1000,69760,55549,93611,3587
1000,69800,58260,83274,3591
1000,74100,79512,113760,5018
1090,69760,29739,38603,1660
1090,69800,43262,64877,2687
1090,71100,75699,85287,3051
1090,42480,75563,114773,4864
1100,69800,79552,100727,3818
1110,69800,55501,88920,4352
1120,69800,18463,29902,1732
1120,69760,21815,36695,2082
1120,42480,69094,92246,4297
1130,74100,41763,64159,3512
1130,74330,40097,51696,3682
1140,69760,39020,48178,2333
1140,69800,51001,61375,3348
1140,71100,66714,79864,3447
1140,21160,124490,142719,5303
1150,69800,33409,49133,2235
1150,69760,43594,55926,2585
1150,73230,59087,80931,4326
1160,69800,48303,65243,2597
1160,69760,50747,72035,2948
1160,71100,85024,110901,3784
1170,74100,22973,46406,3958
1190,71100,38419,46130,2538
1190,69760,69637,84786,3576
1190,21160,94501,108984,4395
1200,74100,34904,52483,2624
1200,74330,29993,38853,2693
1200,69800,80525,114025,4409
1210,74100,15201,35330,2334
1210,74330,37989,50708,2783
1210,73230,79072,97511,4171
1220,74100,22017,48536,2775
1220,74330,47857,63914,3224
1220,73230,88948,110717,4612
1230,69800,46091,81554,4156
1240,69800,44205,56320,3274
1240,69760,42059,58300,3375
1240,71100,78647,104389,4332
1250,69800,63659,83006,3827
1260,73230,46606,63683,3933
1270,71100,54817,68805,3536
1270,69800,79363,119096,4390
1280,74100,15952,36031,2405
1280,74330,35784,51410,2854
1280,73230,76628,98213,4242
1290,71100,57949,67222,2632
1290,69760,48264,67592,2675
1290,69800,59353,68233,3699
1300,73230,28871,38590,2470
1300,69800,53941,82826,3463
1300,74330,39613,70429,4057
1310,71100,62065,79122,3215
1310,69760,53923,83282,3453
1310,69800,59635,73699,4079
1320,69800,37411,55019,2753
1320,69760,39081,61811,3103
1320,71100,88208,112135,4495
1330,69760,27772,44189,2206
1330,69800,31697,41221,2346
1330,71100,86634,107614,4302
1340,71100,52398,59511,3087
1340,69760,64257,84933,3636
1350,74330,25759,50815,3298
1350,73230,34341,46703,3375
1350,74100,53562,72409,4055
1360,69800,19379,35603,1711
1360,69760,29782,42396,2062
1360,42480,73473,97947,4276
1370,71100,65071,100273,3559
1370,69800,69296,94230,3590
1370,69760,67255,105195,3819
1380,71100,51120,66367,2683
1380,69760,57371,72174,3016
1380,69800,66788,98448,4043
1390,69760,17160,30509,2010
1390,69800,23812,33107,2035
1390,42480,66891,95451,4600
1400,69760,39051,55161,2658
1400,69800,46507,59051,3207
1400,71100,71487,84812,3634
1410,74330,40254,68312,5212
1420,74330,23306,41158,3065
1420,74100,43270,62751,3821
1430,69800,61951,88435,3569
1430,74100,56073,79458,3723
1440,71100,64347,86002,3112
1440,69800,62823,89643,3356
1440,69760,59338,90925,3372
1440,74100,79818,120129,4784
1450,69800,58159,78820,3483
1450,69760,62096,85612,3834
1460,69800,68953,90948,3657
1470,69800,41160,66971,3810
1480,69760,22257,31831,1740
1480,69800,35502,44866,2542
1480,71100,83333,94613,3709
1500,69800,41281,58772,2433
1500,69760,47664,65564,2784
1500,71100,96000,123720,4305
1510,73230,39887,59121,4228
1540,71100,61605,72284,2833
1540,69760,47532,62567,2998
1540,69800,56251,66457,3547
1540,21160,117851,135138,4690
1550,74100,27172,44240,2732
1550,74330,27256,43658,2917
1550,73230,64361,106586,4595
1560,71100,41904,49624,2759
1560,69760,74425,94688,4321
1570,71100,45992,60620,2500
1570,69760,60132,76450,3112
1570,69800,71281,102723,4139
1580,69800,73864,98560,3883
1590,69800,86232,108182,3946
1600,69760,14471,19920,1497
1600,69800,28538,38770,1927
1600,71100,91135,108159,3849
1630,74100,23140,39662,2485
1630,74330,32279,55040,2933
